[|||8|||3|||98|||0
[|||18|||9|||94|||0
[|||27|||15|||76|||0
[|||31|||16|||76|||0
[|||39|||19|||44|||0
[|||40|||19|||82|||0
[|||41|||19|||92|||0
[|||44|||20|||80|||0
[|||48|||20|||125|||0
[|||54|||22|||108|||0
[|||59|||25|||92|||0
[|||60|||25|||102|||0
[|||67|||27|||101|||0
[|||97|||39|||108|||0
[|||99|||41|||44|||0
[|||100|||41|||109|||0
[|||101|||41|||130|||0
[|||122|||46|||84|||0
[|||123|||46|||134|||0
[|||125|||46|||153|||0
[|||132|||50|||74|||0
[|||138|||53|||87|||0
[|||139|||53|||97|||0
[|||149|||59|||182|||0
[|||164|||63|||152|||0
[|||165|||63|||161|||0
[|||169|||63|||236|||0
[|||170|||63|||246|||0
[|||177|||66|||97|||0
[|||178|||66|||110|||0
[|||181|||67|||58|||0
[|||184|||67|||120|||0
[|||193|||70|||176|||0
[|||197|||72|||94|||0
[|||200|||73|||44|||0
[|||205|||73|||83|||0
[|||206|||73|||94|||0
[|||211|||73|||160|||0
[|||212|||73|||169|||0
[|||220|||76|||59|||0
[|||223|||76|||97|||0
[|||224|||76|||106|||0
[|||228|||76|||142|||0
[|||232|||77|||115|||0
[|||250|||87|||28|||0
[|||255|||87|||111|||0
[|||261|||89|||86|||0
[|||277|||100|||298|||0
[|||286|||106|||147|||0
[|||302|||113|||70|||0
[|||311|||117|||161|||0
[|||325|||125|||111|||0
[|||332|||127|||97|||0
[|||340|||130|||112|||0
[|||342|||131|||52|||0
[|||347|||132|||88|||0
[|||348|||132|||98|||0
[|||349|||133|||95|||0
[|||360|||136|||89|||0
[|||371|||140|||39|||0
[|||374|||140|||56|||0
[|||383|||141|||60|||0
[|||392|||142|||94|||0
[|||395|||143|||98|||0
[|||403|||146|||117|||0
[|||407|||150|||57|||0
[|||410|||151|||90|||0
[|||414|||154|||52|||0
[|||415|||154|||96|||0
[|||417|||154|||129|||0
[|||431|||160|||67|||0
[|||433|||160|||136|||0
[|||440|||162|||151|||0
[|||441|||162|||163|||0
[|||443|||164|||198|||0
[|||453|||169|||83|||0
[|||474|||175|||112|||0
[|||475|||175|||124|||0
[|||485|||178|||128|||0
[|||489|||179|||49|||0
[|||528|||197|||157|||0
[|||531|||199|||54|||0
[|||536|||200|||242|||0
[|||542|||202|||111|||0
[|||551|||207|||116|||0
[|||557|||210|||93|||0
[|||568|||216|||59|||0
[|||573|||217|||56|||0
[|||581|||219|||68|||0
[|||584|||219|||106|||0
[|||590|||219|||177|||0
[|||592|||219|||215|||0
[|||614|||224|||129|||0
[|||620|||226|||95|||0
[|||621|||226|||104|||0
[|||624|||226|||125|||0
[|||630|||229|||10|||0
[|||642|||238|||103|||0
[|||647|||241|||108|||0
[|||648|||241|||120|||0
[|||650|||242|||45|||0
[|||656|||243|||85|||0
[|||672|||250|||96|||0
[|||675|||251|||92|||0
[|||686|||259|||91|||0
[|||687|||259|||101|||0
[|||692|||261|||130|||0
[|||693|||261|||166|||0
[|||700|||264|||124|||0
[|||704|||265|||85|||0
[|||707|||268|||82|||0
[|||721|||274|||83|||0
[|||726|||275|||124|||0
[|||728|||275|||176|||0
[|||743|||281|||69|||0
[|||747|||281|||160|||0
[|||748|||281|||183|||0
[|||752|||283|||83|||0
[|||753|||283|||135|||0
[|||754|||283|||145|||0
[|||756|||285|||39|||0
[|||757|||285|||82|||0
[|||758|||285|||135|||0
[|||759|||285|||144|||0
[|||762|||285|||185|||0
[|||763|||285|||194|||0
[|||765|||285|||240|||0
[|||768|||286|||73|||0
[|||769|||286|||85|||0
[|||772|||289|||107|||0
[|||781|||292|||90|||0
[|||786|||293|||114|||0
[|||790|||295|||55|||0
[|||791|||295|||75|||0
[|||798|||297|||102|||0
.|||62|||5|||62|||1
.|||71|||6|||62|||1
.|||96|||8|||84|||1
.|||118|||10|||83|||1
.|||119|||10|||85|||1
.|||130|||11|||63|||1
.|||149|||12|||65|||1
.|||169|||13|||57|||1
.|||170|||13|||75|||1
.|||184|||14|||72|||1
.|||186|||14|||84|||1
.|||198|||15|||84|||1
.|||210|||16|||85|||1
.|||221|||17|||64|||1
.|||223|||17|||81|||1
.|||236|||18|||77|||1
.|||271|||21|||71|||1
.|||273|||21|||82|||1
.|||274|||21|||84|||1
.|||283|||22|||77|||1
.|||326|||25|||84|||1
.|||339|||26|||79|||1
.|||353|||27|||75|||1
.|||369|||28|||66|||1
.|||377|||29|||62|||1
.|||378|||29|||71|||1
.|||388|||30|||74|||1
.|||394|||31|||64|||1
.|||421|||33|||63|||1
.|||422|||33|||72|||1
.|||429|||34|||79|||1
.|||430|||34|||81|||1
.|||450|||36|||62|||1
.|||471|||38|||60|||1
.|||486|||39|||63|||1
.|||533|||42|||70|||1
.|||534|||42|||81|||1
.|||558|||44|||64|||1
.|||559|||44|||74|||1
.|||560|||44|||84|||1
.|||570|||45|||64|||1
.|||604|||48|||79|||1
.|||622|||49|||64|||1
.|||633|||50|||83|||1
.|||659|||52|||82|||1
.|||668|||53|||68|||1
.|||683|||54|||64|||1
.|||695|||55|||73|||1
.|||708|||56|||75|||1
.|||717|||57|||67|||1
.|||718|||57|||78|||1
.|||752|||59|||74|||1
.|||788|||62|||64|||1
.|||798|||63|||55|||1
.|||833|||65|||64|||1
.|||845|||66|||77|||1
.|||884|||69|||64|||1
.|||963|||74|||81|||1
.|||971|||75|||59|||1
.|||983|||76|||85|||1
.|||998|||77|||72|||1
.|||1035|||80|||82|||1
.|||1045|||81|||58|||1
.|||1046|||81|||67|||1
.|||1047|||81|||81|||1
.|||1118|||88|||60|||1
.|||1119|||88|||69|||1
.|||1129|||89|||56|||1
.|||1160|||92|||62|||1
.|||1177|||94|||80|||1
.|||1190|||95|||60|||1
