+|||2|||2|||73|||0
+|||3|||4|||57|||0
+|||23|||14|||46|||0
+=|||2|||26|||49|||0
+|||33|||27|||64|||0
+|||36|||28|||53|||0
+|||38|||30|||57|||0
+|||39|||31|||52|||0
+|||41|||33|||50|||0
+|||42|||35|||49|||0
+|||50|||46|||73|||0
+|||53|||47|||65|||0
+|||70|||60|||38|||0
+|||77|||69|||53|||0
+|||86|||74|||61|||0
+|||99|||87|||67|||0
+|||102|||91|||60|||0
+|||105|||93|||74|||0
+|||108|||95|||62|||0
+|||112|||98|||70|||0
+|||116|||101|||65|||0
+|||126|||111|||57|||0
+|||129|||116|||41|||0
+|||170|||146|||49|||0
+|||172|||149|||45|||0
+|||184|||157|||58|||0
+|||189|||159|||75|||0
+|||191|||161|||53|||0
+|||198|||166|||36|||0
+|||203|||171|||45|||0
+|||204|||172|||65|||0
+|||208|||175|||53|||0
+|||215|||190|||72|||0
+|||224|||196|||50|||0
+|||232|||200|||61|||0
+|||239|||205|||55|||0
+|||257|||218|||24|||0
+|||265|||225|||63|||0
+|||268|||226|||63|||0
+|||273|||232|||51|||0
+|||283|||237|||58|||0
+|||294|||250|||46|||0
+|||296|||253|||53|||0
+|||300|||255|||58|||0
+|||306|||262|||67|||0
+|||318|||268|||44|||0
+|||327|||279|||51|||0
+|||330|||281|||54|||0
+|||331|||281|||60|||0
+|||332|||282|||71|||0
+|||337|||285|||70|||0
+|||340|||287|||50|||0
2;|||1|||5|||60|||1
0;|||5|||5|||64|||1
tmp;|||1|||29|||72|||1
i;|||1|||29|||79|||1
j;|||1|||29|||87|||1
true;|||8|||36|||85|||1
true;|||15|||44|||74|||1
max;|||1|||45|||102|||1
max;|||2|||45|||110|||1
tmp;|||3|||50|||65|||1
0;|||48|||54|||80|||1
false;|||9|||57|||73|||1
num.length;|||2|||95|||83|||1
null;|||2|||109|||154|||1
true;|||25|||109|||158|||1
0;|||100|||109|||162|||1
0;|||105|||120|||100|||1
in.nextLine();|||1|||120|||120|||1
j;|||3|||123|||96|||1
0;|||110|||123|||99|||1
j;|||4|||123|||113|||1
y;|||3|||132|||81|||1
z;|||5|||132|||87|||1
z;|||6|||142|||94|||1
other_lines=0;|||1|||151|||47|||1
count=count+1;|||1|||156|||101|||1
false;|||21|||158|||82|||1
temp1;|||1|||167|||123|||1
temp2;|||1|||167|||126|||1
temp2;|||2|||167|||142|||1
temp1;|||2|||167|||145|||1
temp3;|||3|||167|||154|||1
temp2;|||3|||167|||157|||1
max*max;|||1|||185|||89|||1
re;|||1|||195|||113|||1
array;|||1|||206|||79|||1
0;|||198|||206|||87|||1
max;|||6|||206|||115|||1
