;|||1|||0|||6|||0
;|||2|||0|||13|||0
;|||3|||0|||39|||0
;|||4|||0|||50|||0
;|||8|||0|||84|||0
;|||12|||1|||6|||0
;|||13|||1|||13|||0
;|||14|||1|||20|||0
;|||15|||1|||51|||0
;|||16|||1|||62|||0
;|||17|||1|||67|||0
;|||25|||2|||6|||0
;|||26|||2|||13|||0
;|||27|||2|||20|||0
;|||28|||2|||27|||0
;|||29|||2|||57|||0
;|||30|||2|||72|||0
;|||38|||3|||6|||0
;|||39|||3|||13|||0
;|||40|||3|||20|||0
;|||41|||3|||27|||0
;|||42|||3|||45|||0
;|||43|||3|||69|||0
;|||44|||3|||80|||0
;|||57|||4|||6|||0
;|||58|||4|||13|||0
;|||59|||4|||33|||0
;|||60|||4|||53|||0
;|||61|||4|||62|||0
;|||62|||4|||71|||0
;|||63|||4|||80|||0
;|||64|||4|||89|||0
;|||75|||5|||6|||0
;|||76|||5|||13|||0
;|||77|||5|||20|||0
;|||78|||5|||46|||0
;|||79|||5|||54|||0
;|||80|||5|||65|||0
;|||88|||6|||6|||0
;|||89|||6|||13|||0
;|||90|||6|||20|||0
;|||91|||6|||45|||0
;|||92|||6|||59|||0
;|||99|||7|||6|||0
;|||100|||7|||13|||0
;|||101|||7|||39|||0
;|||102|||7|||50|||0
;|||106|||7|||86|||0
;|||110|||8|||6|||0
;|||111|||8|||13|||0
;|||112|||8|||45|||0
;|||113|||8|||56|||0
;|||116|||8|||86|||0
;|||121|||9|||6|||0
;|||122|||9|||13|||0
;|||123|||9|||39|||0
;|||124|||9|||50|||0
;|||128|||9|||84|||0
;|||132|||10|||6|||0
;|||133|||10|||32|||0
;|||134|||10|||43|||0
;|||135|||10|||46|||0
;|||149|||11|||6|||0
;|||150|||11|||13|||0
;|||151|||11|||20|||0
;|||152|||11|||27|||0
;|||153|||11|||34|||0
;|||154|||11|||41|||0
;|||155|||11|||48|||0
;|||156|||11|||55|||0
;|||177|||11|||328|||0
;|||181|||12|||6|||0
;|||182|||12|||32|||0
;|||183|||12|||45|||0
;|||186|||12|||69|||0
;|||198|||13|||6|||0
;|||199|||13|||24|||0
;|||200|||13|||35|||0
;|||201|||13|||46|||0
;|||217|||14|||6|||0
;|||218|||14|||13|||0
;|||219|||14|||20|||0
;|||220|||14|||27|||0
;|||221|||14|||34|||0
;|||222|||14|||62|||0
;|||224|||14|||73|||0
;|||225|||14|||89|||0
;|||235|||15|||6|||0
;|||236|||15|||13|||0
;|||237|||15|||20|||0
;|||238|||15|||27|||0
;|||239|||15|||34|||0
;|||240|||15|||41|||0
;|||241|||15|||68|||0
;|||242|||15|||79|||0
;|||253|||16|||6|||0
;|||254|||16|||13|||0
;|||255|||16|||33|||0
;|||256|||16|||44|||0
;|||257|||16|||55|||0
;|||261|||16|||89|||0
;|||265|||17|||6|||0
;|||266|||17|||13|||0
;|||267|||17|||20|||0
;|||268|||17|||52|||0
;|||269|||17|||63|||0
;|||273|||17|||102|||0
;|||277|||18|||6|||0
;|||278|||18|||13|||0
;|||279|||18|||20|||0
;|||280|||18|||27|||0
;|||281|||18|||61|||0
;|||282|||18|||69|||0
;|||283|||18|||80|||0
;|||287|||18|||119|||0
;|||292|||19|||6|||0
;|||293|||19|||13|||0
;|||294|||19|||20|||0
;|||295|||19|||52|||0
;|||296|||19|||63|||0
;|||304|||20|||6|||0
;|||305|||20|||13|||0
;|||306|||20|||20|||0
;|||307|||20|||27|||0
;|||308|||20|||61|||0
;|||309|||20|||72|||0
;|||317|||21|||6|||0
;|||318|||21|||13|||0
;|||319|||21|||20|||0
;|||320|||21|||45|||0
;|||321|||21|||54|||0
;|||322|||21|||68|||0
;|||333|||22|||6|||0
;|||334|||22|||13|||0
;|||335|||22|||20|||0
;|||336|||22|||47|||0
;|||337|||22|||56|||0
;|||338|||22|||61|||0
;|||340|||22|||71|||0
;|||341|||22|||76|||0
;|||353|||23|||6|||0
;|||354|||23|||31|||0
;|||355|||23|||42|||0
;|||359|||23|||78|||0
;|||363|||24|||6|||0
;|||364|||24|||13|||0
;|||365|||24|||24|||0
;|||366|||24|||31|||0
;|||367|||24|||38|||0
;|||368|||24|||64|||0
;|||382|||25|||6|||0
;|||383|||25|||33|||0
;|||384|||25|||38|||0
;|||385|||25|||53|||0
;|||400|||26|||6|||0
;|||401|||26|||32|||0
;|||402|||26|||37|||0
;|||403|||26|||42|||0
;|||404|||26|||47|||0
;|||407|||26|||71|||0
;|||417|||27|||6|||0
;|||418|||27|||32|||0
;|||419|||27|||43|||0
;|||420|||27|||46|||0
;|||434|||28|||6|||0
;|||435|||28|||32|||0
;|||436|||28|||43|||0
;|||437|||28|||48|||0
;|||438|||28|||53|||0
;|||439|||28|||58|||0
;|||442|||28|||84|||0
;|||453|||29|||6|||0
;|||454|||29|||13|||0
;|||455|||29|||20|||0
;|||456|||29|||48|||0
;|||457|||29|||61|||0
;|||458|||29|||74|||0
;|||459|||29|||89|||0
;|||478|||30|||6|||0
;|||479|||30|||13|||0
;|||480|||30|||39|||0
;|||481|||30|||50|||0
;|||484|||30|||75|||0
;|||490|||31|||6|||0
;|||491|||31|||31|||0
;|||492|||31|||42|||0
;|||500|||32|||6|||0
;|||501|||32|||31|||0
;|||502|||32|||44|||0
;|||505|||32|||68|||0
;|||515|||33|||6|||0
;|||516|||33|||13|||0
;|||517|||33|||20|||0
;|||518|||33|||27|||0
;|||519|||33|||34|||0
;|||520|||33|||41|||0
;|||521|||33|||53|||0
;|||522|||33|||61|||0
;|||538|||34|||6|||0
;|||539|||34|||13|||0
;|||540|||34|||45|||0
;|||541|||34|||56|||0
;|||545|||34|||95|||0
;|||549|||35|||6|||0
;|||550|||35|||13|||0
;|||551|||35|||38|||0
